#  log(age)     mini          mact           logl     logt  phase
    6.7000   40.2190780640   35.7265000000    5.7199    3.8116   0.0
    6.7000   40.2212524414   35.6658000000    5.7200    3.8066   0.0
    6.7000   40.2229461670   35.6184000000    5.7201    3.8027   0.0
    6.7000   40.2248878479   35.5643000000    5.7203    3.7982   0.0
    6.7000   40.2265739441   35.4993000000    5.7203    3.7958   0.0
    6.7000   40.2285118103   35.4240000000    5.7203    3.7931   0.0
    6.7000   40.2302055359   35.3584000000    5.7203    3.7907   0.0
    6.7000   40.2321395874   35.2831000000    5.7203    3.7880   0.0
    6.7000   40.2338333130   35.2173000000    5.7203    3.7857   0.0
    6.7000   40.2357635498   35.1422000000    5.7203    3.7831   0.0
    6.7000   40.2374610901   35.0764000000    5.7203    3.7808   0.0
    6.7000   40.2393913269   35.0055000000    5.7203    3.7797   0.0
    6.7000   40.2418098450   34.9168000000    5.7202    3.7785   0.0
    6.7000   40.2442245483   34.8283000000    5.7201    3.7773   0.0
    6.7000   40.2471237183   34.7221000000    5.7200    3.7759   0.0
    6.7000   40.2507591248   34.5892000000    5.7197    3.7742   0.0
    6.7000   40.2543792725   34.4565000000    5.7194    3.7725   0.0
    6.7000   40.2582435608   34.3149000000    5.7192    3.7707   0.0
    6.7000   40.2621078491   34.1734000000    5.7190    3.7690   0.0
    6.7000   40.2665748596   34.0110000000    5.7192    3.7698   0.0
    6.7000   40.2728271484   33.7835000000    5.7201    3.7710   0.0
    6.7000   40.9342422485   29.4123000000    5.7247    4.3439   0.0
    6.7000   41.3217735291   29.3233000000    5.7317    4.3528   0.0
    6.7000   44.9451217651   14.1436000000    5.7270    4.8306   0.0
    6.7000   45.5651626587    6.3856000000    5.7405    4.9095   0.0
#  log(age)     mini          mact           logl     logt  phase
    6.7500    0.1500000060    0.1500000000   -2.4002    3.5584   0.0
    6.7500    0.2000000030    0.2000000000   -2.0997    3.5865   0.0
    6.7500    0.2500000000    0.2500000000   -1.9066    3.5991   0.0
    6.7500    0.3000000119    0.3000000000   -1.7539    3.6092   0.0
    6.7500    0.3499999940    0.3500000000   -1.6283    3.6171   0.0
    6.7500    0.4000000060    0.4000000000   -1.4837    3.6224   0.0
    6.7500    0.4499999881    0.4500000000   -1.3712    3.6294   0.0
    6.7500    0.5000000000    0.5000000000   -1.2420    3.6380   0.0
    6.7500    0.5500000119    0.5500000000   -1.1005    3.6491   0.0
    6.7500    0.6000000238    0.6000000000   -0.9576    3.6623   0.0
    6.7500    0.6999999881    0.7000000000   -0.6600    3.7016   0.0
    6.7500    0.8000000119    0.8000000000   -0.3880    3.7430   0.0
    6.7500    0.8999999762    0.9000000000   -0.1495    3.7752   0.0
    6.7500    1.0018262863    1.0018000000    0.0766    3.8023   0.0
    6.7500    1.1018263102    1.1018000000    0.2767    3.8268   0.0
    6.7500    1.2018263340    1.2018000000    0.4531    3.8514   0.0
    6.7500    1.3018262386    1.3018000000    0.6121    3.8824   0.0
    6.7500    1.4018262625    1.4018000000    0.7552    3.9147   0.0
    6.7500    1.5018262863    1.5018000000    0.8829    3.9436   0.0
    6.7500    1.6009131670    1.6009000000    1.0033    3.9710   0.0
    6.7500    1.7000000477    1.7000000000    1.1130    3.9944   0.0
    6.7500    1.7990868092    1.7991000000    1.2126    4.0142   0.0
    6.7500    1.8999999762    1.9000000000    1.3033    4.0333   0.0
    6.7500    2.0000000000    2.0000000000    1.3927    4.0508   0.0
    6.7500    2.2000000477    2.2000000000    1.5449    4.0801   0.0
    6.7500    2.5000000000    2.5000000000    1.7487    4.1173   0.0
    6.7500    3.0000000000    3.0000000000    2.0315    4.1652   0.0
    6.7500    3.5000000000    3.5000000000    2.2636    4.2029   0.0
    6.7500    4.0000000000    4.0000000000    2.4623    4.2344   0.0
    6.7500    4.5000000000    4.5000000000    2.6319    4.2603   0.0
    6.7500    4.6934776306    4.6935000000    2.6912    4.2696   0.0
    6.7500    5.0000000000    5.0000000000    2.7811    4.2840   0.0
    6.7500    6.0000000000    6.0000000000    3.0475    4.3238   0.0
    6.7500    7.0000000000    7.0000000000    3.2718    4.3566   0.0
    6.7500    8.9908685684    8.9909000000    3.6373    4.4058   0.0
    6.7500    9.3946771622    9.3947000000    3.7000    4.4139   0.0
    6.7500   11.9634742737   11.9635000000    4.0565    4.4612   0.0
    6.7500   14.5384788513   14.5054000000    4.3403    4.4959   0.0
    6.7500   14.9452114105   14.9047000000    4.3823    4.5004   0.0
    6.7500   18.4498367310   18.3799000000    4.6834    4.5294   0.0
    6.7500   19.9086856842   19.8236000000    4.7975    4.5366   0.0
    6.7500   21.8721046448   21.7235000000    4.9203    4.5421   0.0
    6.7500   24.8861980438   24.5653000000    5.0930    4.5415   0.0
    6.7500   27.1718597412   26.6498000000    5.2133    4.5312   0.0
    6.7500   28.8886413574   28.1717000000    5.2986    4.5170   0.0
    6.7500   30.0000000000   29.1269000000    5.3526    4.4992   0.0
    6.7500   30.7403793335   29.7496000000    5.3818    4.4881   0.0
    6.7500   31.4297618866   30.3186000000    5.4084    4.4774   0.0
    6.7500   32.0357284546   30.8119000000    5.4312    4.4671   0.0
