#  log(age)     mini          mact           logl     logt  phase
    6.7000   41.4309883118   17.5164000000    5.6482    4.3358   0.0
    6.7000   41.4531364441   17.5023000000    5.6487    4.3284   0.0
    6.7000   41.4763717651   17.4873000000    5.6489    4.3429   0.0
    6.7000   41.4985771179   17.4730000000    5.6494    4.3344   0.0
    6.7000   41.5218696594   17.4578000000    5.6497    4.3489   0.0
    6.7000   41.5439796448   17.4433000000    5.6502    4.3408   0.0
    6.7000   41.5671730042   17.4280000000    5.6506    4.3521   0.0
    6.7000   42.0331230164   17.0959000000    5.6594    4.3858   0.0
    6.7000   42.0765991211   17.0549000000    5.6602    4.3903   0.0
    6.7000   42.1632347107   16.9723000000    5.6618    4.4025   0.0
    6.7000   42.2485504150   16.9147000000    5.6633    4.4167   0.0
    6.7000   42.3126029968   16.8704000000    5.6645    4.4303   0.0
    6.7000   42.3546829224   16.8409000000    5.6652    4.4419   0.0
    6.7000   42.3965454102   16.8111000000    5.6659    4.4523   0.0
    6.7000   42.4383316040   16.7810000000    5.6667    4.4624   0.0
    6.7000   42.4797477722   16.7507000000    5.6674    4.4715   0.0
    6.7000   42.5209274292   16.7203000000    5.6681    4.4831   0.0
    6.7000   42.5618858337   16.6897000000    5.6688    4.4965   0.0
    6.7000   42.6026077271   16.6614000000    5.6695    4.5099   0.0
    6.7000   42.6432571411   16.6326000000    5.6701    4.5223   0.0
    6.7000   42.6833572388   16.6038000000    5.6708    4.5381   0.0
    6.7000   42.7232093811   16.5748000000    5.6715    4.5540   0.0
    6.7000   42.7565727234   16.5502000000    5.6720    4.5646   0.0
    6.7000   42.7960968018   16.5208000000    5.6726    4.5788   0.0
    6.7000   42.8350563049   16.4914000000    5.6731    4.5923   0.0
    6.7000   42.8739356995   16.4617000000    5.6737    4.6031   0.0
    6.7000   42.9124107361   16.4320000000    5.6743    4.6138   0.0
    6.7000   42.9503059387   16.4024000000    5.6748    4.6245   0.0
    6.7000   43.0067977905   16.3577000000    5.6757    4.6373   0.0
    6.7000   43.0810775757   16.2978000000    5.6766    4.6522   0.0
    6.7000   43.1703796387   16.2240000000    5.6778    4.6691   0.0
    6.7000   43.2755813599   16.1347000000    5.6791    4.6862   0.0
    6.7000   43.4166526794   16.0108000000    5.6808    4.7054   0.0
